entry_time,exit_time,direction,entry_price,exit_price,size,stop_loss,initial_stop,take_profit_1,pnl,pnl_pct,rr,exit_reason,tp1_hit,breakeven_set,signal_strength,leverage,margin,position_value,liquidation_price,funding_fees,liquidation_fee,is_liquidated,margin_ratio_at_entry,mmr_tier
2026-04-06 06:25:00,2026-04-06 09:10:00,short,68831.13102,69399.35701136771,3.443493562942491,69399.35701136771,69399.35701136771,68262.90502863229,-2052.2730392277276,-2.0522730392277277,0.0,止损,false,false,2,10.0,23701.95565974212,237019.5565974212,95874.10264130656,-23.81551828271806,0.0,false,0.1,2
2026-04-06 17:00:00,2026-04-06 17:15:00,short,69574.072402,69356.99,2.232181003699127,70431.62706872616,70431.62706872616,68716.51773527385,422.64027176107726,0.42264027176107727,0.2531411820411938,布林带中轨止盈,false,false,1,10.0,15530.19227657321,155301.9227657321,112008.38361088722,0.0,0.0,false,0.1,2
2026-04-07 19:50:00,2026-04-07 19:55:00,long,69043.45593,69011.29,2.5317231108977403,68284.51526287806,68284.51526287806,69802.39659712193,-151.3222194868726,-0.1513222194868726,-0.042382667570026254,布林带中轨止盈,false,false,1,10.0,17479.89130342306,174798.91303423062,31353.13017157384,0.0,0.0,false,0.09999999999999999,2
2026-04-08 13:40:00,2026-04-08 14:30:00,short,71661.854762,71029.99,1.4691418000364598,72966.7000744206,72966.7000744206,70357.0094495794,886.5576828782167,0.8865576828782168,0.4842449568430718,布林带中轨止盈,false,false,1,10.0,10528.142629899603,105281.42629899603,136740.25826658081,0.0,0.0,false,0.1,2
2026-04-09 07:00:00,2026-04-09 08:40:00,long,71068.48085400001,71330.01,6.57588810202441,70774.39256306474,70774.39256306474,71362.56914493527,1532.1631338834013,1.5321631338834014,0.8892878569502569,布林带中轨止盈,false,false,1,10.0,46733.83776767682,467338.3776767682,56756.76305772021,46.693908413540484,0.0,false,0.09999999999999999,3
2026-04-09 14:45:00,2026-04-09 14:50:00,long,71043.13578599998,71162.0,3.3222942660806676,70453.22345017732,70453.22345017732,71633.04812182265,300.33345478930437,0.3003334547893044,0.20149470825059648,布林带中轨止盈,false,false,1,10.0,23602.620266621805,236026.20266621804,41710.72721646446,0.0,0.0,false,0.1,2
2026-04-09 16:35:00,2026-04-09 17:05:00,short,71843.358454,72511.26597398178,2.940498155076828,72511.26597398178,72511.26597398178,71175.45093401823,-2049.2685277958585,-2.0492685277958587,0.0,止损,false,false,1,10.0,21125.526298851026,211255.26298851025,104007.71655095041,0.0,0.0,false,0.1,2
2026-04-10 12:10:00,2026-04-10 12:20:00,short,72080.38104000001,72302.04117742932,8.66779854912457,72302.04117742932,72302.04117742932,71858.7209025707,-2171.9852286551086,-2.1719852286551085,0.0,止损,false,false,1,10.0,62477.82221988581,624778.2221988582,82206.18037077741,0.0,0.0,false,0.09999999999999999,3
2026-04-11 22:35:00,2026-04-11 23:05:00,short,73275.06205600001,72992.0,5.4175647172903645,73620.76489205114,73620.76489205114,72929.35921994888,1375.3314538515388,1.3753314538515387,0.8188016599266275,布林带中轨止盈,false,false,2,10.0,39697.23908518476,396972.3908518476,89850.20374595391,0.0,0.0,false,0.1,3
2026-04-12 07:40:00,2026-04-12 09:00:00,long,71753.477826,71562.70749069874,9.944933703722928,71562.70749069874,71562.70749069874,71944.24816130126,-2181.8728898696113,-2.181872889869611,0.0,止损,false,false,2,10.0,71358.35799911231,713583.5799911232,63120.83389672362,71.26096942538035,0.0,false,0.09999999999999999,3
2026-04-13 04:35:00,2026-04-13 04:40:00,long,71134.213998,71023.5,7.061301602527035,70872.7286380316,70872.7286380316,71395.6993579684,-982.3922732464526,-0.9823922732464527,-0.42340419369323934,布林带中轨止盈,false,false,1,10.0,50230.01392985785,502300.1392985785,58839.498149533596,0.0,0.0,false,0.1,3
2026-04-16 09:55:00,2026-04-16 10:00:00,short,74579.101196,74574.0,5.001485666435318,74943.54505655835,74943.54505655835,74214.65733544166,-123.67875815980553,-0.12367875815980553,0.013997206571645986,布林带中轨止盈,false,false,1,10.0,37300.630564742314,373006.30564742314,91792.09435764085,0.0,0.0,false,0.1,3
2026-04-16 13:10:00,2026-04-16 13:15:00,long,74834.023812,74924.63,6.009083847957737,74531.59782408303,74531.59782408303,75136.44979991697,364.3688272569695,0.3643688272569695,0.2995978904593377,布林带中轨止盈,false,false,1,10.0,44968.39237663739,449683.9237663739,60309.2011390472,0.0,0.0,false,0.1,3
2026-04-16 17:45:00,2026-04-16 18:45:00,long,74453.18766,74680.13,2.8611626347609143,73816.73554007299,73816.73554007299,75089.639779927,563.8501444471971,0.563850144447197,0.35657409708374493,布林带中轨止盈,false,false,1,10.0,21302.26785716344,213022.67857163437,42693.74811359091,0.0,0.0,false,0.1,2
2026-04-18 06:25:00,2026-04-18 06:30:00,short,77075.401836,77106.0,10.808690235870998,77244.76239735042,77244.76239735042,76906.04127464959,-664.092024193158,-0.6640920241931579,-0.1806687681950093,布林带中轨止盈,false,false,2,10.0,83308.41432506069,833084.1432506068,84571.62650242692,0.0,0.0,false,0.1,3
2026-04-18 12:00:00,2026-04-18 16:15:00,long,76241.125176,75701.88110112082,3.3576990764074583,75701.88110112082,75701.88110112082,76780.36925087919,-1912.2929866822503,-1.9122929866822502,0.0,止损,false,false,1,10.0,25599.475558772065,255994.75558772063,50130.49012144456,25.530318650649335,0.0,false,0.1,3
2026-04-20 03:45:00,2026-04-20 05:10:00,long,74610.039024,74312.76682311347,5.953516348823534,74312.76682311347,74312.76682311347,74907.31122488652,-1946.783816911761,-1.946783816911761,0.0,止损,false,false,1,10.0,44419.20871157459,444192.0871157459,60691.99275959276,0.0,0.0,false,0.1,3
2026-04-20 23:05:00,2026-04-21 01:05:00,short,75754.676034,76155.69700047316,4.307320163792873,76155.69700047316,76155.69700047316,75353.65506752685,-1858.5364827046485,-1.8585364827046484,0.0,止损,false,false,1,10.0,32629.964358284495,326299.64358284493,94346.16863700554,-32.658704506700495,0.0,false,0.1,3
2026-04-21 09:25:00,2026-04-21 12:40:00,short,76231.50065,75829.94,2.2291915995842144,76988.81453122752,76988.81453122752,75474.18676877249,827.5398416055857,0.8275398416055856,0.5302433508139563,布林带中轨止盈,false,false,1,10.0,16993.462087267857,169934.62087267858,113823.12528432038,0.0,0.0,false,0.09999999999999999,2
